"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 28 127482 18 7 0 3
"3" 8 44 127465 34 3 1 6
"4" 12 46 127462 32 4 3 7
"5" 16 55 127454 36 6 5 8
"6" 20 66 127443 42 7 6 11
"7" 24 83 127426 53 7 7 16
"8" 28 109 127398 68 7 7 27
"9" 32 135 127372 80 12 10 33
"10" 36 160 127345 88 18 13 41
"11" 40 201 127302 108 25 19 49
"12" 44 260 127242 153 24 24 59
"13" 48 324 127176 192 32 30 70
"14" 52 421 127077 254 49 33 85
"15" 56 531 126963 324 58 41 108
"16" 60 702 126797 450 61 51 140
"17" 64 876 126602 538 107 63 168
"18" 68 1157 126318 727 127 89 214
"19" 72 1486 125987 932 155 115 284
"20" 76 1858 125598 1167 181 149 361
"21" 80 2396 125048 1488 260 197 451
"22" 84 3070 124353 1907 330 249 584
"23" 88 3956 123448 2442 418 320 776
"24" 92 5046 122330 3109 532 422 983
"25" 96 6431 120890 3944 699 536 1252
"26" 100 8198 119077 5048 844 694 1612
"27" 104 10332 116915 6322 1073 872 2065
"28" 108 12997 114196 7841 1400 1131 2625
"29" 112 16479 110617 9869 1839 1433 3338
"30" 116 20614 106374 12281 2236 1830 4267
"31" 120 25638 101187 15160 2775 2323 5380
"32" 124 31894 94873 18629 3537 2905 6823
"33" 128 39121 87484 22481 4377 3631 8632
"34" 132 47487 78897 26615 5389 4612 10871
"35" 136 56772 69444 30820 6534 5742 13676
"36" 140 66734 59347 34904 7825 7151 16854
"37" 144 76951 48942 38126 9320 8780 20725
"38" 148 87177 38667 40304 10881 10727 25265
"39" 152 96761 29043 41015 12155 12948 30643
"40" 156 105203 20614 40117 13333 15362 36391
"41" 160 112279 13613 37578 13933 18045 42723
"42" 164 117561 8538 33167 14359 20879 49156
"43" 168 121310 5046 27786 14183 23646 55695
"44" 172 123770 2798 21864 13592 26364 61950
"45" 176 125227 1546 16387 12086 28908 67846
"46" 180 126039 901 11667 10267 31156 72949
"47" 184 126586 551 7971 8430 32988 77197
"48" 188 126896 353 5120 6708 34466 80602
"49" 192 127097 264 3240 4985 35623 83249
"50" 196 127233 178 1928 3668 36415 85222
"51" 200 127294 147 1167 2515 37043 86569
