"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 21 12738 11 5 0 5
"3" 8 26 12734 16 4 0 6
"4" 12 32 12727 18 5 0 9
"5" 16 39 12719 23 3 1 12
"6" 20 45 12714 25 6 2 12
"7" 24 54 12704 27 9 4 14
"8" 28 66 12694 29 13 5 19
"9" 32 75 12683 33 11 9 22
"10" 36 89 12670 40 12 11 26
"11" 40 102 12657 42 11 15 34
"12" 44 117 12639 48 13 18 38
"13" 48 132 12626 53 15 22 42
"14" 52 151 12609 59 21 25 46
"15" 56 166 12593 63 18 31 54
"16" 60 183 12573 66 20 35 62
"17" 64 210 12545 72 26 40 72
"18" 68 234 12525 86 20 46 82
"19" 72 249 12505 76 36 51 86
"20" 76 274 12484 83 26 64 101
"21" 80 297 12460 82 32 72 111
"22" 84 322 12437 82 29 83 128
"23" 88 344 12414 86 28 87 143
"24" 92 358 12400 76 33 96 153
"25" 96 381 12376 84 30 103 164
"26" 100 406 12349 82 29 112 183
"27" 104 435 12321 91 26 119 199
"28" 108 461 12296 91 31 124 215
"29" 112 487 12269 98 28 129 232
"30" 116 505 12250 90 31 139 245
"31" 120 530 12229 87 34 149 260
"32" 124 556 12199 89 36 157 274
"33" 128 590 12169 98 34 161 297
"34" 132 613 12142 99 35 165 314
"35" 136 645 12112 103 42 174 326
"36" 140 666 12090 90 53 182 341
"37" 144 699 12057 93 49 198 359
"38" 148 724 12033 101 39 209 375
"39" 152 741 12010 96 38 216 391
"40" 156 766 11988 95 39 221 411
"41" 160 792 11966 99 35 232 426
"42" 164 809 11946 86 43 240 440
"43" 168 835 11922 78 44 248 465
"44" 172 855 11905 73 41 256 485
"45" 176 865 11891 68 32 266 499
"46" 180 883 11875 62 33 275 513
"47" 184 898 11857 58 30 282 528
"48" 188 912 11846 55 33 286 538
"49" 192 924 11834 55 18 299 552
"50" 196 932 11828 43 24 302 563
"51" 200 941 11819 40 23 306 572
