"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 28 127486 17 8 1 2
"3" 8 32 127478 21 5 2 4
"4" 12 39 127469 26 6 2 5
"5" 16 50 127460 33 5 3 9
"6" 20 64 127445 40 8 5 11
"7" 24 84 127424 56 6 7 15
"8" 28 106 127401 73 7 8 18
"9" 32 134 127375 89 10 9 26
"10" 36 169 127336 107 21 10 31
"11" 40 217 127287 136 26 18 37
"12" 44 271 127232 168 29 23 51
"13" 48 340 127165 211 38 27 64
"14" 52 424 127068 256 49 35 84
"15" 56 578 126919 360 60 48 110
"16" 60 757 126742 480 69 67 141
"17" 64 983 126507 631 95 80 177
"18" 68 1224 126258 779 107 107 231
"19" 72 1561 125907 962 156 132 311
"20" 76 1989 125464 1224 206 164 395
"21" 80 2532 124910 1566 258 209 499
"22" 84 3229 124190 1976 343 269 641
"23" 88 4180 123234 2573 451 337 819
"24" 92 5274 122099 3244 569 435 1026
"25" 96 6625 120692 4040 698 554 1333
"26" 100 8537 118768 5261 892 689 1695
"27" 104 10835 116419 6600 1134 902 2199
"28" 108 13577 113585 8143 1481 1172 2781
"29" 112 17227 109842 10338 1879 1511 3499
"30" 116 21559 105440 12863 2326 1927 4443
"31" 120 26766 100088 15735 2987 2397 5647
"32" 124 33039 93672 19233 3586 3038 7182
"33" 128 40292 86231 22930 4493 3820 9049
"34" 132 48693 77737 27003 5541 4764 11385
"35" 136 57908 68309 31069 6652 5963 14224
"36" 140 67849 58246 34739 8115 7386 17609
"37" 144 78027 47829 37853 9448 9192 21534
"38" 148 88209 37597 40070 10766 11191 26182
"39" 152 97723 28144 40774 12109 13408 31432
"40" 156 105815 20100 39483 13241 15901 37190
"41" 160 112792 13242 36685 14144 18553 43410
"42" 164 118048 8138 32331 14375 21408 49934
"43" 168 121562 4807 26985 13801 24242 56534
"44" 172 123850 2747 21166 12981 26832 62871
"45" 176 125198 1572 15744 11663 29269 68522
"46" 180 126008 939 11003 10074 31524 73407
"47" 184 126565 584 7403 8254 33397 77511
"48" 188 126891 385 4705 6390 34844 80952
"49" 192 127058 285 2971 4707 35932 83448
"50" 196 127200 205 1835 3329 36784 85252
"51" 200 127285 162 1115 2301 37339 86530
