"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 16 31 127478 21 6 1 3
"3" 32 42 127466 32 2 1 7
"4" 48 55 127454 42 5 1 7
"5" 64 77 127431 54 10 4 9
"6" 80 109 127398 75 13 6 15
"7" 96 139 127365 101 10 8 20
"8" 112 164 127338 110 14 12 28
"9" 128 217 127289 138 21 16 42
"10" 144 267 127233 165 30 19 53
"11" 160 360 127143 224 44 28 64
"12" 176 472 127027 300 52 38 82
"13" 192 582 126913 367 54 49 112
"14" 208 739 126753 461 69 63 146
"15" 224 925 126564 571 90 77 187
"16" 240 1183 126301 725 128 95 235
"17" 256 1506 125970 936 146 120 304
"18" 272 1944 125522 1186 229 164 365
"19" 288 2512 124932 1554 268 217 473
"20" 304 3208 124233 1995 311 268 634
"21" 320 4041 123368 2464 438 327 812
"22" 336 5234 122138 3208 560 416 1050
"23" 352 6645 120684 4093 677 546 1329
"24" 368 8420 118893 5127 906 690 1697
"25" 384 10741 116483 6528 1143 899 2171
"26" 400 13585 113577 8275 1420 1140 2750
"27" 416 16944 110119 10234 1754 1461 3495
"28" 432 21129 105882 12513 2320 1883 4413
"29" 448 26492 100372 15659 2933 2398 5502
"30" 464 32815 93920 19064 3751 3042 6958
"31" 480 40317 86207 22991 4639 3829 8858
"32" 496 48815 77504 27146 5703 4795 11171
"33" 512 58271 67879 31568 6720 6013 13970
"34" 528 68298 57741 35453 8120 7438 17287
"35" 544 78539 47422 38473 9415 9279 21372
"36" 560 88604 37210 40346 10926 11258 26074
"37" 576 98017 27790 40785 12304 13544 31384
"38" 592 106242 19617 39470 13510 16071 37191
"39" 608 113213 12817 36773 14099 18783 43558
"40" 624 118342 7852 32322 14347 21606 50067
"41" 640 121840 4523 26840 14070 24377 56553
"42" 656 124051 2536 21058 13119 27012 62862
"43" 672 125371 1435 15638 11816 29461 68456
"44" 688 126176 816 10938 10061 31703 73474
"45" 704 126630 520 7313 8242 33519 77556
"46" 720 126923 343 4764 6419 34879 80861
"47" 736 127089 246 2965 4710 36007 83407
"48" 752 127187 203 1722 3423 36755 85287
"49" 768 127270 170 1019 2371 37297 86583
"50" 784 127310 154 578 1597 37643 87492
"51" 800 127332 145 343 1012 37917 88060
