"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 28 127483 18 5 0 5
"3" 8 37 127472 27 1 0 9
"4" 12 42 127467 27 5 0 10
"5" 16 63 127444 42 5 0 16
"6" 20 77 127429 49 7 2 19
"7" 24 110 127396 76 5 4 25
"8" 28 133 127376 83 15 6 29
"9" 32 171 127337 105 18 10 38
"10" 36 215 127288 134 20 13 48
"11" 40 280 127224 176 29 18 57
"12" 44 355 127146 223 37 24 71
"13" 48 458 127042 281 49 35 93
"14" 52 586 126911 354 65 50 117
"15" 56 722 126768 437 67 71 147
"16" 60 920 126560 557 88 89 186
"17" 64 1179 126291 728 104 109 238
"18" 68 1479 126001 903 141 142 293
"19" 72 1846 125608 1114 197 176 359
"20" 76 2385 125069 1456 255 215 459
"21" 80 3040 124377 1869 320 274 577
"22" 84 3879 123516 2370 429 338 742
"23" 88 4915 122463 2971 564 433 947
"24" 92 6266 121104 3826 652 555 1233
"25" 96 7980 119358 4887 838 677 1578
"26" 100 10098 117146 6106 1082 887 2023
"27" 104 12732 114460 7689 1382 1096 2565
"28" 108 16065 111021 9677 1719 1380 3289
"29" 112 20273 106715 12154 2208 1737 4174
"30" 116 25423 101459 15164 2746 2198 5315
"31" 120 31626 95141 18631 3467 2796 6732
"32" 124 38736 87757 22367 4348 3552 8469
"33" 128 46945 79374 26414 5388 4477 10666
"34" 132 56426 69781 30778 6641 5588 13419
"35" 136 66550 59465 34981 7817 7048 16704
"36" 140 76850 49057 38281 9297 8733 20539
"37" 144 87105 38722 40421 10823 10748 25113
"38" 148 97018 28806 41468 12175 12939 30436
"39" 152 105633 20165 40601 13304 15467 36261
"40" 156 112659 13281 37823 14200 18142 42494
"41" 160 117906 8268 33410 14443 20935 49118
"42" 164 121551 4839 27817 14203 23757 55774
"43" 168 123800 2702 21766 13451 26478 62105
"44" 172 125306 1517 16395 12083 29031 67797
"45" 176 126097 867 11505 10507 31194 72891
"46" 180 126628 498 7834 8584 33082 77128
"47" 184 126931 328 5034 6756 34580 80561
"48" 188 127088 232 3097 5033 35703 83255
"49" 192 127232 182 1852 3643 36561 85176
"50" 196 127287 155 1103 2490 37134 86560
"51" 200 127337 129 624 1730 37481 87502
