"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 16 24 127483 14 6 1 3
"3" 32 37 127471 27 3 1 6
"4" 48 43 127466 30 2 4 7
"5" 64 49 127460 28 7 5 9
"6" 80 70 127440 40 13 5 12
"7" 96 89 127419 54 14 5 16
"8" 112 126 127382 82 13 9 22
"9" 128 164 127343 113 14 9 28
"10" 144 201 127305 130 19 15 37
"11" 160 265 127239 174 28 16 47
"12" 176 369 127129 251 42 17 59
"13" 192 457 127040 307 39 33 78
"14" 208 576 126909 364 53 45 114
"15" 224 740 126746 458 79 60 143
"16" 240 959 126518 597 95 83 184
"17" 256 1244 126224 783 119 109 233
"18" 272 1586 125886 987 156 142 301
"19" 288 2004 125453 1222 215 182 385
"20" 304 2551 124887 1538 279 230 504
"21" 320 3298 124130 2021 331 271 675
"22" 336 4223 123174 2591 444 350 838
"23" 352 5436 121946 3379 560 468 1029
"24" 368 6865 120486 4256 681 607 1321
"25" 384 8581 118708 5238 894 769 1680
"26" 400 10899 116348 6619 1200 964 2116
"27" 416 13841 113322 8357 1494 1237 2753
"28" 432 17395 109634 10454 1812 1585 3544
"29" 448 21696 105313 12941 2315 1985 4455
"30" 464 26829 100024 15807 2897 2482 5643
"31" 480 32985 93697 19175 3602 3115 7093
"32" 496 40393 86191 22926 4576 3953 8938
"33" 512 48892 77480 27148 5599 4952 11193
"34" 528 58225 67973 31260 6809 6164 13992
"35" 544 68272 57859 35114 8080 7620 17458
"36" 560 78422 47438 38228 9416 9335 21443
"37" 576 88710 37157 40383 10899 11365 26063
"38" 592 98055 27758 40804 12279 13721 31251
"39" 608 106266 19568 39685 13160 16288 37133
"40" 624 113156 12858 36878 13950 18930 43398
"41" 640 118110 7989 32355 14256 21665 49834
"42" 656 121634 4682 26851 13793 24544 56446
"43" 672 123958 2630 21068 13110 27142 62638
"44" 688 125332 1493 15624 11925 29484 68299
"45" 704 126153 868 10985 10180 31640 73348
"46" 720 126671 498 7332 8475 33365 77499
"47" 736 126962 328 4766 6440 34842 80914
"48" 752 127131 233 2880 4785 35969 83497
"49" 768 127234 175 1734 3370 36750 85380
"50" 784 127278 148 1027 2288 37328 86635
"51" 800 127340 127 596 1513 37698 87533
