"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 17 12743 7 5 1 4
"3" 8 24 12736 13 3 1 7
"4" 12 28 12731 16 4 1 7
"5" 16 34 12726 18 4 2 10
"6" 20 36 12723 17 3 3 13
"7" 24 43 12716 19 3 5 16
"8" 28 47 12713 19 7 5 16
"9" 32 50 12710 19 2 7 22
"10" 36 54 12706 20 4 7 23
"11" 40 61 12698 20 7 7 27
"12" 44 68 12691 20 7 9 32
"13" 48 73 12686 22 6 11 34
"14" 52 79 12679 24 5 13 37
"15" 56 89 12670 28 9 13 39
"16" 60 103 12657 34 10 14 45
"17" 64 112 12647 37 10 16 49
"18" 68 120 12640 41 7 18 54
"19" 72 129 12628 39 9 21 60
"20" 76 144 12614 42 13 22 67
"21" 80 158 12602 47 16 24 71
"22" 84 167 12592 39 18 29 81
"23" 88 192 12568 54 20 31 87
"24" 92 209 12549 60 20 35 94
"25" 96 233 12527 70 21 37 105
"26" 100 250 12507 78 16 45 111
"27" 104 263 12492 65 26 49 123
"28" 108 293 12466 72 36 52 133
"29" 112 313 12444 80 28 61 144
"30" 116 330 12427 82 28 63 157
"31" 120 345 12410 82 26 68 169
"32" 124 368 12387 72 28 76 192
"33" 128 392 12365 77 22 86 207
"34" 132 412 12346 72 29 93 218
"35" 136 427 12332 67 31 98 231
"36" 140 443 12312 61 33 107 242
"37" 144 457 12300 59 28 117 253
"38" 148 474 12285 58 26 123 267
"39" 152 484 12275 54 27 127 276
"40" 156 490 12268 45 28 131 286
"41" 160 505 12250 46 25 135 299
"42" 164 519 12240 43 27 142 307
"43" 168 526 12231 38 26 144 318
"44" 172 537 12221 38 26 148 325
"45" 176 547 12212 39 16 154 338
"46" 180 550 12209 31 12 158 349
"47" 184 562 12197 29 12 162 359
"48" 188 566 12192 27 7 165 367
"49" 192 572 12188 27 9 166 370
"50" 196 577 12183 24 9 169 375
"51" 200 580 12179 18 14 170 378
