# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 4700 0 0 0 0
 4.000000E+00 0 4700 0 0 0 0
 8.000000E+00 2 4700 2 0 0 0
 1.200000E+01 3 4700 2 1 0 0
 1.600000E+01 2 4699 1 0 1 0
 2.000000E+01 7 4699 5 1 1 0
 2.400000E+01 2 4699 0 0 1 1
 2.800000E+01 6 4699 3 1 1 1
 3.200000E+01 11 4698 6 0 2 3
 3.600000E+01 8 4698 1 2 2 3
 4.000000E+01 8 4697 2 1 2 3
 4.400000E+01 11 4697 5 1 2 3
 4.800000E+01 8 4697 2 0 2 4
 5.200000E+01 11 4697 5 0 2 4
 5.600000E+01 10 4697 4 0 2 4
 6.000000E+01 11 4696 4 0 2 5
 6.400000E+01 11 4695 4 0 2 5
 6.800000E+01 11 4694 3 1 2 5
 7.200000E+01 12 4694 4 0 2 6
 7.600000E+01 16 4694 7 1 2 6
 8.000000E+01 14 4694 6 0 2 6
 8.400000E+01 10 4694 2 0 2 6
 8.800000E+01 11 4694 2 0 2 7
 9.200000E+01 15 4693 4 2 2 7
 9.600000E+01 18 4692 5 3 3 7
 1.000000E+02 20 4690 5 3 3 9
 1.040000E+02 20 4689 5 1 4 10
 1.080000E+02 21 4689 5 1 4 11
 1.120000E+02 21 4689 5 1 4 11
 1.160000E+02 20 4689 4 0 4 12
 1.200000E+02 19 4689 3 0 4 12
 1.240000E+02 23 4688 6 1 4 12
 1.280000E+02 26 4687 9 0 4 13
 1.320000E+02 24 4687 5 1 4 14
 1.360000E+02 25 4686 5 1 4 15
 1.400000E+02 28 4685 7 1 4 16
 1.440000E+02 28 4685 8 0 4 16
 1.480000E+02 28 4685 6 2 4 16
 1.520000E+02 26 4684 3 2 4 17
 1.560000E+02 27 4684 5 0 4 18
 1.600000E+02 30 4684 7 1 4 18
 1.640000E+02 30 4682 5 2 4 19
 1.680000E+02 32 4679 6 2 4 20
 1.720000E+02 32 4679 7 1 4 20
 1.760000E+02 33 4679 5 4 4 20
 1.800000E+02 32 4677 4 3 4 21
 1.840000E+02 38 4673 8 3 4 23
 1.880000E+02 33 4671 4 1 5 23
 1.920000E+02 32 4671 1 3 5 23
 1.960000E+02 32 4671 2 1 5 24
 2.000000E+02 34 4670 2 2 6 24

#Simulation ended (eff.: 0.912054, detail below)
	#Events: 5009
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
