# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads' 'I-positive' 'I-zero' 'I-negative' 'tot-info'
 0.000000E+00 0 7000 0 0 0 0 0 7000 0 7000
 4.000000E+00 0 7000 0 0 0 0 0 7000 0 7000
 8.000000E+00 0 7000 0 0 0 0 0 7000 0 7000
 1.200000E+01 0 7000 0 0 0 0 0 7000 0 7000
 1.600000E+01 1 7000 0 1 0 0 1 7000 0 7001
 2.000000E+01 1 7000 0 1 0 0 7001 0 0 7001
 2.400000E+01 1 7000 0 0 0 1 7000 0 0 7000
 2.800000E+01 1 7000 0 0 0 1 7000 0 0 7000
 3.200000E+01 1 7000 0 0 0 1 7000 0 0 7000
 3.600000E+01 1 7000 0 0 0 1 7000 0 0 7000
 4.000000E+01 1 7000 0 0 0 1 7000 0 0 7000
 4.400000E+01 1 7000 0 0 0 1 7000 0 0 7000
 4.800000E+01 1 7000 0 0 0 1 7000 0 0 7000
 5.200000E+01 1 7000 0 0 0 1 7000 0 0 7000
 5.600000E+01 1 7000 0 0 0 1 7000 0 0 7000
 6.000000E+01 1 7000 0 0 0 1 7000 0 0 7000
 6.400000E+01 1 7000 0 0 0 1 7000 0 0 7000
 6.800000E+01 1 7000 0 0 0 1 7000 0 0 7000
 7.200000E+01 1 7000 0 0 0 1 7000 0 0 7000
 7.600000E+01 1 7000 0 0 0 1 7000 0 0 7000
 8.000000E+01 1 7000 0 0 0 1 7000 0 0 7000
 8.400000E+01 1 7000 0 0 0 1 7000 0 0 7000
 8.800000E+01 1 7000 0 0 0 1 7000 0 0 7000
 9.200000E+01 1 7000 0 0 0 1 7000 0 0 7000
 9.600000E+01 1 7000 0 0 0 1 7000 0 0 7000
 1.000000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.040000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.080000E+02 1 7000 0 0 0 1 7000 0 0 7000
 1.120000E+02 1 7000 0 0 0 1 7000 0 0 7000
