"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 25 127485 15 7 1 2
"3" 8 39 127470 29 4 1 5
"4" 12 54 127455 40 6 2 6
"5" 16 64 127443 43 8 5 8
"6" 20 83 127424 56 6 7 14
"7" 24 116 127392 77 14 9 16
"8" 28 152 127356 103 18 11 20
"9" 32 197 127308 132 22 16 27
"10" 36 252 127252 163 25 27 37
"11" 40 303 127197 192 30 32 49
"12" 44 394 127103 243 46 39 66
"13" 48 506 126993 320 57 42 87
"14" 52 668 126827 428 66 51 123
"15" 56 864 126629 552 90 63 159
"16" 60 1102 126381 684 119 91 208
"17" 64 1384 126071 853 140 115 276
"18" 68 1767 125696 1063 193 157 354
"19" 72 2262 125183 1348 233 209 472
"20" 76 2900 124528 1752 283 268 597
"21" 80 3626 123788 2175 377 332 742
"22" 84 4586 122811 2778 452 424 932
"23" 88 5696 121672 3427 557 540 1172
"24" 92 7127 120211 4237 752 677 1461
"25" 96 8991 118316 5328 931 848 1884
"26" 100 11261 115949 6648 1191 1074 2348
"27" 104 14204 112941 8409 1487 1330 2978
"28" 108 17763 109313 10478 1916 1636 3733
"29" 112 22226 104733 13140 2348 2068 4670
"30" 116 27497 99355 16016 2917 2626 5938
"31" 120 33739 92983 19356 3596 3282 7505
"32" 124 41037 85555 23027 4555 4106 9349
"33" 128 49514 76875 27188 5523 5133 11670
"34" 132 58691 67566 31178 6696 6344 14473
"35" 136 68452 57566 34762 8039 7800 17851
"36" 140 78753 47250 37952 9487 9469 21845
"37" 144 88558 37277 39775 10761 11452 26570
"38" 148 97829 28045 40314 12025 13631 31859
"39" 152 106278 19660 39353 13191 16150 37584
"40" 156 113006 12981 36521 13794 18933 43758
"41" 160 118246 7907 32334 14115 21717 50080
"42" 164 121694 4666 26878 13717 24533 56566
"43" 168 123920 2665 21159 12990 27088 62683
"44" 172 125287 1513 15659 11636 29587 68405
"45" 176 126139 891 11121 10048 31719 73251
"46" 180 126578 562 7409 8248 33485 77436
"47" 184 126889 390 4733 6382 34947 80827
"48" 188 127076 273 2966 4739 36017 83354
"49" 192 127204 211 1819 3384 36800 85201
"50" 196 127256 179 1112 2342 37317 86485
"51" 200 127295 159 657 1551 37684 87403
