"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 23 12737 13 4 2 4
"3" 8 32 12727 21 4 2 5
"4" 12 38 12722 27 1 3 7
"5" 16 42 12718 25 5 3 9
"6" 20 49 12710 26 6 4 13
"7" 24 55 12703 26 9 5 15
"8" 28 64 12696 30 7 6 21
"9" 32 72 12688 32 8 6 26
"10" 36 85 12674 39 10 8 28
"11" 40 101 12656 46 11 9 35
"12" 44 109 12649 45 13 12 39
"13" 48 119 12635 45 15 12 47
"14" 52 134 12622 50 13 14 57
"15" 56 154 12603 56 16 17 65
"16" 60 176 12582 63 23 17 73
"17" 64 197 12560 69 26 20 82
"18" 68 224 12528 81 26 26 91
"19" 72 254 12502 98 23 32 101
"20" 76 283 12473 102 28 35 118
"21" 80 306 12452 104 25 43 134
"22" 84 320 12435 99 26 50 145
"23" 88 348 12409 92 50 53 153
"24" 92 386 12372 107 39 60 180
"25" 96 411 12342 104 39 66 202
"26" 100 436 12319 101 43 74 218
"27" 104 466 12290 110 47 78 231
"28" 108 492 12262 108 50 87 247
"29" 112 524 12229 113 38 101 272
"30" 116 561 12195 117 42 111 291
"31" 120 598 12157 121 42 126 309
"32" 124 632 12126 131 36 134 331
"33" 128 659 12099 119 46 144 350
"34" 132 684 12071 110 52 151 371
"35" 136 719 12036 120 45 157 397
"36" 140 759 11999 124 51 165 419
"37" 144 784 11972 121 49 171 443
"38" 148 815 11942 113 50 180 472
"39" 152 848 11904 120 48 187 493
"40" 156 874 11884 110 45 202 517
"41" 160 902 11856 106 54 208 534
"42" 164 927 11831 103 46 218 560
"43" 168 947 11808 98 43 224 582
"44" 172 954 11802 84 39 234 597
"45" 176 978 11781 80 45 241 612
"46" 180 991 11765 70 42 245 634
"47" 184 1008 11751 71 37 251 649
"48" 188 1024 11733 67 30 260 667
"49" 192 1041 11718 69 30 266 676
"50" 196 1055 11704 63 31 274 687
"51" 200 1069 11689 62 25 282 700
