"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 26 127483 16 4 1 5
"3" 8 29 127477 19 1 2 7
"4" 12 35 127474 24 2 2 7
"5" 16 40 127468 25 5 2 8
"6" 20 51 127458 28 9 4 10
"7" 24 77 127431 48 9 6 14
"8" 28 99 127409 64 9 9 17
"9" 32 112 127394 72 9 10 21
"10" 36 137 127367 84 16 11 26
"11" 40 177 127328 108 14 17 38
"12" 44 224 127279 129 27 20 48
"13" 48 280 127219 173 25 23 59
"14" 52 349 127153 211 38 32 68
"15" 56 449 127046 269 50 38 92
"16" 60 597 126900 369 59 51 118
"17" 64 758 126734 469 82 67 140
"18" 68 988 126496 611 118 78 181
"19" 72 1304 126181 830 139 94 241
"20" 76 1658 125818 1045 177 120 316
"21" 80 2120 125339 1326 230 158 406
"22" 84 2707 124724 1707 264 200 536
"23" 88 3415 124010 2097 373 255 690
"24" 92 4344 123045 2679 454 330 881
"25" 96 5467 121878 3328 581 437 1121
"26" 100 6963 120356 4221 743 568 1431
"27" 104 8838 118438 5342 935 737 1824
"28" 108 11201 116035 6771 1160 954 2316
"29" 112 14162 112998 8531 1542 1209 2880
"30" 116 17758 109260 10657 1886 1517 3698
"31" 120 22221 104751 13192 2473 1911 4645
"32" 124 27726 99056 16332 3001 2460 5933
"33" 128 34352 92323 19931 3844 3106 7471
"34" 132 41921 84552 23829 4742 3942 9408
"35" 136 50499 75772 27939 5741 4976 11843
"36" 140 59960 66246 32101 6938 6193 14728
"37" 144 69938 56130 35778 8258 7693 18209
"38" 148 80077 45816 38556 9690 9516 22315
"39" 152 90335 35504 40535 11114 11584 27102
"40" 156 99553 26278 40802 12329 13882 32540
"41" 160 107396 18435 39277 13267 16344 38508
"42" 164 113956 11995 36207 13944 19005 44800
"43" 168 118806 7322 31473 14376 21660 51297
"44" 172 122076 4294 25923 13901 24442 57810
"45" 176 124150 2448 20089 12912 27145 64004
"46" 180 125444 1394 14824 11525 29560 69535
"47" 184 126218 791 10309 9903 31620 74386
"48" 188 126642 514 6823 7957 33342 78520
"49" 192 126956 330 4362 6055 34759 81780
"50" 196 127109 232 2722 4478 35804 84105
"51" 200 127224 188 1619 3189 36595 85821
