"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 19 12741 9 7 0 3
"3" 8 27 12732 18 3 2 4
"4" 12 31 12729 19 6 2 4
"5" 16 41 12719 26 7 3 5
"6" 20 48 12710 26 7 5 10
"7" 24 54 12703 30 6 6 12
"8" 28 61 12698 31 7 10 13
"9" 32 71 12687 31 11 13 16
"10" 36 88 12669 39 14 15 20
"11" 40 104 12655 48 14 17 25
"12" 44 119 12641 56 16 20 27
"13" 48 129 12627 55 18 22 34
"14" 52 144 12613 55 24 24 41
"15" 56 159 12596 59 19 29 52
"16" 60 184 12574 64 23 31 66
"17" 64 216 12542 80 23 35 78
"18" 68 237 12518 87 20 41 89
"19" 72 254 12500 89 19 47 99
"20" 76 277 12482 85 29 52 111
"21" 80 299 12460 83 33 60 123
"22" 84 324 12434 87 37 69 131
"23" 88 350 12403 91 37 78 144
"24" 92 379 12377 104 34 84 157
"25" 96 404 12353 104 36 93 171
"26" 100 427 12327 102 36 104 185
"27" 104 465 12291 113 40 108 204
"28" 108 504 12255 115 52 116 221
"29" 112 524 12232 103 51 126 244
"30" 116 556 12201 110 36 134 276
"31" 120 580 12176 109 31 144 296
"32" 124 592 12163 94 37 148 313
"33" 128 623 12135 104 36 155 328
"34" 132 649 12108 103 37 162 347
"35" 136 673 12082 102 35 171 365
"36" 140 702 12054 104 34 179 385
"37" 144 720 12036 94 39 182 405
"38" 148 742 12016 96 35 191 420
"39" 152 756 12001 85 35 197 439
"40" 156 792 11964 92 38 205 457
"41" 160 820 11939 91 40 214 475
"42" 164 840 11919 86 40 223 491
"43" 168 858 11898 83 43 230 502
"44" 172 881 11878 82 41 241 517
"45" 176 898 11860 77 38 249 534
"46" 180 913 11845 70 39 257 547
"47" 184 932 11825 62 32 266 572
"48" 188 953 11806 62 38 270 583
"49" 192 970 11789 66 29 276 599
"50" 196 974 11783 50 31 281 612
"51" 200 982 11776 45 28 287 622
