"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 20 127488 10 6 1 3
"3" 8 33 127476 22 6 1 4
"4" 12 48 127462 35 3 1 9
"5" 16 57 127451 42 4 1 10
"6" 20 65 127442 49 3 2 11
"7" 24 89 127418 61 12 3 13
"8" 28 124 127382 85 16 5 18
"9" 32 165 127339 109 21 9 26
"10" 36 233 127272 151 27 14 41
"11" 40 299 127199 195 33 20 51
"12" 44 387 127110 255 36 28 68
"13" 48 483 127013 312 49 35 87
"14" 52 616 126870 388 66 44 118
"15" 56 818 126663 505 95 58 160
"16" 60 1087 126402 696 103 84 204
"17" 64 1354 126117 845 144 104 261
"18" 68 1717 125740 1073 175 134 335
"19" 72 2166 125280 1326 215 181 444
"20" 76 2756 124690 1706 270 229 551
"21" 80 3494 123934 2142 360 294 698
"22" 84 4423 122982 2688 447 370 918
"23" 88 5604 121753 3372 614 473 1145
"24" 92 7184 120133 4349 767 603 1465
"25" 96 9161 118101 5600 948 775 1838
"26" 100 11526 115693 7006 1226 974 2320
"27" 104 14550 112607 8802 1564 1225 2959
"28" 108 18276 108774 10955 2025 1580 3716
"29" 112 22901 104020 13627 2480 2008 4786
"30" 116 28488 98327 16751 3133 2567 6037
"31" 120 35103 91572 20354 3947 3204 7598
"32" 124 42809 83710 24292 4860 4064 9593
"33" 128 51577 74746 28516 5884 5129 12048
"34" 132 60938 65231 32448 7043 6439 15008
"35" 136 70911 55056 35928 8436 7935 18612
"36" 140 81318 44518 38798 9881 9736 22903
"37" 144 91615 34269 40823 11232 11822 27738
"38" 148 100899 24999 41027 12566 14153 33153
"39" 152 108597 17314 39210 13474 16765 39148
"40" 156 114871 11109 35836 14149 19403 45483
"41" 160 119479 6701 30864 14392 22194 52029
"42" 164 122590 3824 25234 13825 24971 58560
"43" 168 124428 2149 19343 12705 27582 64798
"44" 172 125678 1184 14137 11304 29976 70261
"45" 176 126339 683 9793 9537 32024 74985
"46" 180 126763 419 6484 7776 33596 78907
"47" 184 127018 276 4135 5880 34973 82030
"48" 188 127177 206 2524 4453 35897 84303
"49" 192 127264 157 1530 3101 36618 86015
"50" 196 127297 123 853 2189 37103 87152
"51" 200 127361 108 515 1449 37464 87933
