"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 25 127484 15 2 4 4
"3" 8 30 127479 20 2 4 4
"4" 12 35 127476 22 2 4 7
"5" 16 37 127473 21 5 4 7
"6" 20 46 127461 28 5 5 8
"7" 24 58 127449 34 6 7 11
"8" 28 66 127442 35 6 12 13
"9" 32 80 127428 44 5 13 18
"10" 36 99 127409 52 11 14 22
"11" 40 137 127371 79 12 16 30
"12" 44 166 127340 100 10 18 38
"13" 48 211 127294 129 18 21 43
"14" 52 268 127236 165 21 29 53
"15" 56 329 127175 196 30 36 67
"16" 60 398 127095 229 42 42 85
"17" 64 508 126992 305 54 51 98
"18" 68 662 126830 402 68 70 122
"19" 72 825 126654 496 88 83 158
"20" 76 1038 126442 631 100 108 199
"21" 80 1320 126159 808 133 125 254
"22" 84 1647 125816 987 180 153 327
"23" 88 2121 125343 1289 236 185 411
"24" 92 2704 124742 1658 276 226 544
"25" 96 3374 124049 2075 351 282 666
"26" 100 4226 123164 2558 465 360 843
"27" 104 5409 121959 3257 595 448 1109
"28" 108 6973 120360 4247 764 569 1393
"29" 112 8846 118407 5402 898 749 1797
"30" 116 11131 116073 6770 1164 948 2249
"31" 120 13989 113151 8471 1480 1207 2831
"32" 124 17580 109492 10515 1907 1530 3628
"33" 128 22107 104878 13142 2413 1933 4619
"34" 132 27533 99281 16241 2975 2452 5865
"35" 136 34053 92613 19731 3714 3135 7473
"36" 140 41625 84886 23694 4544 4013 9374
"37" 144 50234 76108 27820 5690 5042 11682
"38" 148 59743 66417 31943 6912 6275 14613
"39" 152 70014 55988 35890 8185 7832 18107
"40" 156 80158 45734 38778 9612 9577 22191
"41" 160 90108 35768 40468 10897 11654 27089
"42" 164 99284 26533 40686 12210 13923 32465
"43" 168 107586 18369 39486 13400 16330 38370
"44" 172 114217 11763 36559 13793 19170 44695
"45" 176 119032 7159 31792 14351 21868 51021
"46" 180 122237 4191 26038 14102 24601 57496
"47" 184 124269 2338 20208 13084 27355 63622
"48" 188 125518 1284 14915 11481 29805 69317
"49" 192 126303 765 10523 9718 31910 74152
"50" 196 126679 495 6994 7942 33560 78183
"51" 200 126980 335 4423 6245 34960 81352
