"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 20 12739 10 5 2 3
"3" 8 28 12732 17 5 2 4
"4" 12 33 12726 20 3 3 7
"5" 16 38 12722 19 7 4 8
"6" 20 44 12716 23 5 4 12
"7" 24 47 12710 20 6 7 14
"8" 28 57 12701 24 9 9 15
"9" 32 70 12690 30 9 10 21
"10" 36 83 12675 39 9 11 24
"11" 40 100 12659 48 10 13 29
"12" 44 117 12641 54 12 15 36
"13" 48 130 12627 52 17 16 45
"14" 52 145 12613 58 12 16 59
"15" 56 165 12595 64 13 24 64
"16" 60 182 12576 72 8 27 75
"17" 64 197 12558 69 21 29 78
"18" 68 229 12528 83 24 34 88
"19" 72 245 12509 76 34 37 98
"20" 76 276 12480 90 32 44 110
"21" 80 304 12452 101 29 52 122
"22" 84 326 12431 97 35 61 133
"23" 88 353 12403 108 27 68 150
"24" 92 389 12367 110 38 79 162
"25" 96 422 12333 119 34 83 186
"26" 100 450 12308 122 38 90 200
"27" 104 477 12280 113 50 99 215
"28" 108 507 12250 108 54 106 239
"29" 112 538 12220 114 50 112 262
"30" 116 575 12182 126 45 125 279
"31" 120 593 12159 116 37 137 303
"32" 124 621 12136 112 46 142 321
"33" 128 652 12105 115 41 153 343
"34" 132 678 12077 109 50 163 356
"35" 136 708 12051 106 47 170 385
"36" 140 722 12032 92 46 177 407
"37" 144 749 12007 93 44 183 429
"38" 148 771 11987 87 42 193 449
"39" 152 800 11959 97 40 201 462
"40" 156 819 11940 92 39 211 477
"41" 160 824 11928 73 34 220 497
"42" 164 844 11913 63 37 228 516
"43" 168 857 11900 58 29 237 533
"44" 172 874 11882 61 29 239 545
"45" 176 890 11870 57 30 247 556
"46" 180 903 11854 49 36 249 569
"47" 184 918 11837 50 28 256 584
"48" 188 932 11827 50 26 261 595
"49" 192 939 11818 45 25 266 603
"50" 196 950 11806 42 24 267 617
"51" 200 964 11790 42 15 273 634
