"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 29 127481 19 3 4 3
"3" 8 33 127477 23 2 4 4
"4" 12 36 127470 23 3 5 5
"5" 16 53 127455 33 6 7 7
"6" 20 72 127436 45 8 9 10
"7" 24 85 127422 53 7 12 13
"8" 28 99 127410 58 8 14 19
"9" 32 126 127376 72 15 15 24
"10" 36 171 127335 96 20 20 35
"11" 40 223 127284 138 23 21 41
"12" 44 298 127203 191 33 25 49
"13" 48 371 127131 231 46 29 65
"14" 52 488 127016 308 55 40 85
"15" 56 608 126890 381 72 50 105
"16" 60 778 126704 486 86 67 139
"17" 64 1007 126473 627 109 96 175
"18" 68 1316 126154 828 135 124 229
"19" 72 1671 125800 1048 163 155 305
"20" 76 2134 125340 1326 221 192 395
"21" 80 2708 124728 1668 278 242 520
"22" 84 3501 123919 2146 364 301 690
"23" 88 4484 122921 2776 458 387 863
"24" 92 5620 121718 3472 538 499 1111
"25" 96 7094 120260 4312 746 623 1413
"26" 100 8916 118372 5393 950 787 1786
"27" 104 11316 115877 6820 1207 995 2294
"28" 108 14411 112735 8682 1546 1258 2925
"29" 112 18056 108978 10788 1976 1574 3718
"30" 116 22611 104321 13476 2398 2020 4717
"31" 120 28021 98793 16438 3065 2561 5957
"32" 124 34460 92203 19900 3797 3212 7551
"33" 128 42122 84378 23748 4766 4042 9566
"34" 132 50803 75516 27950 5803 5102 11948
"35" 136 60244 65923 32058 6955 6309 14922
"36" 140 70330 55682 35809 8332 7838 18351
"37" 144 80626 45236 38785 9806 9651 22384
"38" 148 90325 35469 40231 11160 11706 27228
"39" 152 99841 26020 40770 12428 13977 32666
"40" 156 107811 18032 39278 13333 16542 38658
"41" 160 114212 11781 35977 14158 19249 44828
"42" 164 119048 7110 31347 14420 22043 51238
"43" 168 122313 4064 25752 13939 24825 57797
"44" 172 124334 2323 19921 13033 27428 63952
"45" 176 125536 1301 14583 11578 29876 69499
"46" 180 126242 791 10178 9788 31916 74360
"47" 184 126721 495 6774 7821 33683 78443
"48" 188 126911 324 4274 6065 35037 81535
"49" 192 127151 228 2649 4429 36089 83984
"50" 196 127235 183 1593 3172 36790 85680
"51" 200 127290 157 921 2202 37279 86888
