"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 22 127487 12 4 1 5
"3" 8 30 127480 20 1 1 8
"4" 12 37 127472 24 3 1 9
"5" 16 49 127460 32 5 2 10
"6" 20 63 127447 43 4 4 12
"7" 24 73 127435 44 7 5 17
"8" 28 100 127407 64 9 6 21
"9" 32 124 127381 77 12 8 27
"10" 36 164 127341 100 19 10 35
"11" 40 209 127297 127 26 14 42
"12" 44 281 127224 177 32 21 51
"13" 48 356 127144 214 41 31 70
"14" 52 460 127036 288 43 38 91
"15" 56 580 126912 360 56 46 118
"16" 60 756 126744 469 74 62 151
"17" 64 935 126556 578 101 73 183
"18" 68 1188 126300 733 125 85 245
"19" 72 1533 125935 946 160 111 316
"20" 76 1898 125560 1164 186 152 396
"21" 80 2369 125084 1444 225 197 503
"22" 84 2996 124427 1781 331 256 628
"23" 88 3922 123487 2394 402 333 793
"24" 92 5035 122344 3107 529 418 981
"25" 96 6396 120950 3970 654 518 1254
"26" 100 8126 119166 5007 862 660 1597
"27" 104 10286 116954 6309 1123 848 2006
"28" 108 13056 114088 7943 1408 1093 2612
"29" 112 16440 110616 9972 1803 1369 3296
"30" 116 20640 106388 12449 2190 1791 4210
"31" 120 25579 101291 15141 2798 2269 5371
"32" 124 31809 94890 18601 3576 2862 6770
"33" 128 39165 87382 22501 4414 3684 8566
"34" 132 47570 78839 26685 5384 4672 10829
"35" 136 56784 69460 30877 6582 5835 13490
"36" 140 66585 59497 34628 7937 7252 16768
"37" 144 76821 49034 37946 9138 9004 20733
"38" 148 86982 38850 40108 10673 10963 25238
"39" 152 96608 29254 40841 12063 13147 30557
"40" 156 105281 20570 40128 13113 15642 36398
"41" 160 112418 13582 37580 13914 18280 42644
"42" 164 117671 8409 33284 14173 21002 49212
"43" 168 121476 4891 27901 14170 23770 55635
"44" 172 123847 2729 21992 13494 26312 62049
"45" 176 125275 1496 16330 12251 28739 67955
"46" 180 126125 854 11557 10597 30892 73079
"47" 184 126649 523 7622 8784 32744 77499
"48" 188 126922 340 4895 6745 34251 81031
"49" 192 127099 239 3049 4973 35366 83711
"50" 196 127218 182 1859 3489 36219 85651
"51" 200 127280 156 1073 2462 36764 86981
