"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 21 12737 11 4 2 4
"3" 8 25 12733 14 4 2 5
"4" 12 34 12725 22 2 3 7
"5" 16 43 12716 24 9 3 7
"6" 20 54 12704 30 9 5 10
"7" 24 62 12694 32 9 7 14
"8" 28 77 12681 41 11 8 17
"9" 32 92 12668 42 13 9 28
"10" 36 110 12649 49 16 12 33
"11" 40 115 12638 48 15 15 37
"12" 44 132 12624 49 21 19 43
"13" 48 153 12607 59 17 23 54
"14" 52 163 12591 54 15 26 68
"15" 56 189 12567 65 17 27 80
"16" 60 212 12547 73 18 34 87
"17" 64 236 12520 83 19 37 97
"18" 68 263 12495 95 22 39 107
"19" 72 279 12475 85 30 48 116
"20" 76 307 12449 87 36 57 127
"21" 80 334 12423 97 32 64 141
"22" 84 355 12400 96 35 72 152
"23" 88 382 12373 101 27 77 177
"24" 92 405 12351 92 35 88 190
"25" 96 452 12305 111 42 97 202
"26" 100 482 12274 121 33 104 224
"27" 104 506 12250 111 47 112 236
"28" 108 538 12217 112 50 119 257
"29" 112 563 12192 107 46 133 277
"30" 116 594 12162 113 46 143 292
"31" 120 633 12121 115 58 150 310
"32" 124 660 12098 118 43 161 338
"33" 128 690 12065 117 47 170 356
"34" 132 720 12037 110 48 176 386
"35" 136 759 11994 119 48 185 407
"36" 140 785 11970 109 45 198 433
"37" 144 809 11948 102 53 207 447
"38" 148 828 11926 88 51 222 467
"39" 152 855 11903 97 36 235 487
"40" 156 873 11883 95 35 246 497
"41" 160 897 11860 93 34 253 517
"42" 164 915 11843 85 42 258 530
"43" 168 935 11820 85 32 264 554
"44" 172 945 11810 69 37 267 572
"45" 176 964 11794 63 37 274 590
"46" 180 982 11774 60 41 281 600
"47" 184 1005 11752 63 30 287 625
"48" 188 1019 11740 57 25 293 644
"49" 192 1021 11738 47 25 295 654
"50" 196 1032 11726 42 23 300 667
"51" 200 1043 11715 38 25 302 678
