"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 16 32 127477 22 6 1 3
"3" 32 40 127468 29 6 2 3
"4" 48 55 127452 41 4 2 8
"5" 64 75 127434 54 8 3 10
"6" 80 88 127416 58 13 5 12
"7" 96 135 127374 88 21 8 18
"8" 112 177 127328 120 20 12 25
"9" 128 222 127283 145 25 17 35
"10" 144 294 127209 192 33 20 49
"11" 160 375 127128 239 38 27 71
"12" 176 467 127035 305 38 37 87
"13" 192 582 126913 372 55 53 102
"14" 208 741 126747 462 80 65 134
"15" 224 962 126518 604 113 74 171
"16" 240 1240 126233 786 134 104 216
"17" 256 1589 125868 995 176 131 287
"18" 272 2022 125417 1246 215 179 382
"19" 288 2607 124833 1603 289 225 490
"20" 304 3344 124081 2059 342 290 653
"21" 320 4218 123180 2592 433 370 823
"22" 336 5321 122036 3237 574 466 1044
"23" 352 6777 120549 4095 753 595 1334
"24" 368 8778 118525 5369 925 762 1722
"25" 384 10973 116253 6664 1152 970 2187
"26" 400 13795 113378 8329 1463 1222 2781
"27" 416 17254 109825 10303 1856 1546 3549
"28" 432 21512 105432 12683 2372 1954 4503
"29" 448 26850 100014 15767 2821 2519 5743
"30" 464 33002 93709 19052 3575 3135 7240
"31" 480 40310 86232 22876 4420 3958 9056
"32" 496 48819 77611 27096 5503 4933 11287
"33" 512 58084 68126 31174 6641 6155 14114
"34" 528 68052 58000 35060 7989 7549 17454
"35" 544 78075 47928 37885 9417 9264 21509
"36" 560 88005 37880 39872 10698 11297 26138
"37" 576 97212 28542 40354 12007 13609 31242
"38" 592 105733 20151 39522 13159 16054 36998
"39" 608 112621 13305 36738 13923 18721 43239
"40" 624 117842 8254 32472 14152 21494 49724
"41" 640 121516 4865 27259 13799 24227 56231
"42" 656 123767 2796 21539 13079 26771 62378
"43" 672 125153 1637 15978 11922 29173 68080
"44" 688 126103 897 11276 10254 31379 73194
"45" 704 126602 535 7650 8297 33208 77447
"46" 720 126935 333 5007 6473 34595 80860
"47" 736 127101 246 3183 4732 35649 83537
"48" 752 127205 178 1910 3515 36438 85342
"49" 768 127290 137 1134 2483 37028 86645
"50" 784 127353 114 682 1682 37416 87573
"51" 800 127361 104 385 1098 37694 88184
