"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 24 127488 14 7 1 2
"3" 8 33 127477 23 3 2 5
"4" 12 38 127470 28 2 3 5
"5" 16 49 127459 34 3 4 8
"6" 20 64 127443 43 7 4 10
"7" 24 79 127425 50 10 7 12
"8" 28 115 127393 80 11 8 16
"9" 32 155 127351 103 17 14 21
"10" 36 193 127312 123 24 18 28
"11" 40 235 127272 144 31 21 39
"12" 44 313 127188 200 31 30 52
"13" 48 397 127110 250 34 45 68
"14" 52 474 127025 281 55 48 90
"15" 56 623 126867 368 81 66 108
"16" 60 822 126671 502 93 83 144
"17" 64 1038 126439 654 96 98 190
"18" 68 1270 126193 776 119 127 248
"19" 72 1629 125828 980 185 155 309
"20" 76 2075 125369 1257 232 188 398
"21" 80 2664 124784 1618 283 242 521
"22" 84 3348 124086 2054 324 311 659
"23" 88 4168 123227 2529 426 385 828
"24" 92 5292 122092 3200 564 470 1058
"25" 96 6682 120647 4060 676 584 1362
"26" 100 8473 118829 5129 851 737 1756
"27" 104 10604 116646 6375 1113 924 2192
"28" 108 13276 113883 7891 1398 1175 2812
"29" 112 16710 110383 9884 1763 1496 3567
"30" 116 20773 106184 12176 2220 1888 4489
"31" 120 26037 100867 15228 2826 2370 5613
"32" 124 32098 94653 18616 3465 2998 7019
"33" 128 39043 87473 22164 4285 3753 8841
"34" 132 47048 79302 25982 5333 4735 10998
"35" 136 56479 69779 30411 6484 5894 13690
"36" 140 66295 59790 34392 7681 7273 16949
"37" 144 76400 49538 37544 9046 8926 20884
"38" 148 86703 39166 39994 10554 10819 25336
"39" 152 96252 29550 40664 11943 13141 30504
"40" 156 104785 21047 39880 12971 15617 36317
"41" 160 111826 14096 37472 13771 18214 42369
"42" 164 117282 8807 33171 14427 20902 48782
"43" 168 121198 5193 27969 14160 23732 55337
"44" 172 123576 2949 22249 13277 26402 61648
"45" 176 125078 1666 16685 12145 28847 67401
"46" 180 126039 920 12007 10410 31118 72504
"47" 184 126537 559 8073 8654 32965 76845
"48" 188 126876 360 5305 6849 34385 80337
"49" 192 127093 247 3300 5183 35538 83072
"50" 196 127208 195 1958 3700 36415 85135
"51" 200 127274 155 1138 2570 37018 86548
