"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 17 12743 7 2 2 6
"3" 8 23 12737 11 4 2 6
"4" 12 26 12734 14 2 3 7
"5" 16 31 12727 18 1 3 9
"6" 20 35 12723 18 4 3 10
"7" 24 40 12719 19 5 3 13
"8" 28 47 12712 21 5 4 17
"9" 32 61 12697 29 7 5 20
"10" 36 74 12684 34 11 6 23
"11" 40 83 12674 38 9 6 30
"12" 44 94 12665 41 13 7 33
"13" 48 96 12662 34 14 10 38
"14" 52 109 12651 39 10 13 47
"15" 56 121 12639 39 17 16 49
"16" 60 143 12615 53 19 17 54
"17" 64 159 12599 59 18 23 59
"18" 68 179 12578 61 21 29 68
"19" 72 202 12556 71 26 34 71
"20" 76 223 12533 77 29 37 80
"21" 80 247 12512 85 22 42 98
"22" 84 260 12497 72 34 47 107
"23" 88 285 12474 80 25 55 125
"24" 92 299 12451 78 25 62 134
"25" 96 319 12437 76 29 67 147
"26" 100 350 12409 80 29 76 165
"27" 104 372 12383 81 28 82 181
"28" 108 405 12351 91 34 89 191
"29" 112 428 12327 90 37 95 206
"30" 116 476 12280 107 44 103 222
"31" 120 499 12255 103 44 110 242
"32" 124 530 12226 110 35 121 264
"33" 128 550 12205 101 40 133 276
"34" 132 568 12186 96 39 139 294
"35" 136 595 12163 94 35 147 319
"36" 140 616 12141 89 34 157 336
"37" 144 631 12126 79 32 166 354
"38" 148 654 12104 80 39 169 366
"39" 152 673 12086 75 40 177 381
"40" 156 691 12066 71 38 187 395
"41" 160 706 12049 65 33 198 410
"42" 164 725 12033 62 37 204 422
"43" 168 754 12005 71 35 213 435
"44" 172 765 11988 66 30 218 451
"45" 176 776 11977 58 28 225 465
"46" 180 792 11964 57 30 230 475
"47" 184 808 11949 54 29 239 486
"48" 188 832 11928 60 32 244 496
"49" 192 850 11909 63 26 251 510
"50" 196 863 11894 60 23 256 524
"51" 200 882 11877 63 28 258 533
