"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 16 26 127484 16 6 0 4
"3" 32 38 127471 28 3 0 7
"4" 48 55 127454 44 1 1 9
"5" 64 66 127443 50 5 2 9
"6" 80 85 127424 58 10 3 14
"7" 96 108 127397 76 10 4 18
"8" 112 145 127362 104 15 4 22
"9" 128 209 127295 146 30 4 29
"10" 144 281 127223 194 35 13 39
"11" 160 373 127124 260 43 18 52
"12" 176 474 127017 314 57 30 73
"13" 192 614 126872 398 70 42 104
"14" 208 822 126672 527 93 60 142
"15" 224 1045 126434 662 107 80 196
"16" 240 1315 126147 822 132 107 254
"17" 256 1647 125821 1017 173 141 316
"18" 272 2093 125356 1270 244 183 396
"19" 288 2695 124739 1616 308 236 535
"20" 304 3497 123936 2124 390 306 677
"21" 320 4493 122919 2774 458 394 867
"22" 336 5756 121620 3563 581 510 1102
"23" 352 7234 120088 4431 779 633 1391
"24" 368 9213 118069 5618 1018 798 1779
"25" 384 11651 115539 7058 1268 1029 2296
"26" 400 14739 112385 8899 1580 1299 2961
"27" 416 18581 108407 11153 2006 1634 3788
"28" 432 23218 103732 13822 2523 2058 4815
"29" 448 28729 98126 16897 3134 2597 6101
"30" 464 35404 91281 20437 4024 3234 7709
"31" 480 43109 83355 24349 4924 4120 9716
"32" 496 51970 74301 28688 5906 5217 12159
"33" 512 61450 64712 32662 7185 6468 15135
"34" 528 71467 54543 36139 8560 7980 18788
"35" 544 81634 44247 38990 9938 9710 22996
"36" 560 91657 34240 40658 11322 11767 27910
"37" 576 100936 24917 40915 12587 14079 33355
"38" 592 108625 17153 38974 13450 16662 39539
"39" 608 115035 10974 35616 14126 19362 45931
"40" 624 119595 6598 30518 14393 22178 52506
"41" 640 122596 3835 24851 13688 25026 59031
"42" 656 124524 2142 19137 12703 27508 65176
"43" 672 125688 1228 13853 11322 29932 70581
"44" 688 126372 700 9591 9562 31911 75308
"45" 704 126763 443 6341 7625 33629 79168
"46" 720 126997 306 3979 5782 34992 82244
"47" 736 127145 214 2475 4158 35957 84555
"48" 752 127249 164 1477 2929 36677 86166
"49" 768 127312 145 890 2028 37147 87247
"50" 784 127337 129 493 1341 37475 88028
"51" 800 127356 120 287 862 37688 88519
