"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 18 12742 8 8 0 2
"3" 8 26 12733 16 4 2 4
"4" 12 30 12728 16 6 3 5
"5" 16 37 12723 20 5 4 8
"6" 20 43 12716 22 3 7 11
"7" 24 48 12712 21 6 7 14
"8" 28 54 12706 23 6 8 17
"9" 32 65 12695 25 14 8 18
"10" 36 74 12684 32 7 9 26
"11" 40 81 12677 33 6 12 30
"12" 44 98 12660 40 12 13 33
"13" 48 114 12645 46 15 15 38
"14" 52 137 12621 55 19 18 45
"15" 56 149 12606 62 14 21 52
"16" 60 166 12591 71 14 23 58
"17" 64 183 12575 66 22 25 70
"18" 68 219 12536 83 26 30 80
"19" 72 241 12518 94 21 36 90
"20" 76 261 12495 94 30 40 97
"21" 80 282 12473 89 34 49 110
"22" 84 309 12449 89 37 61 122
"23" 88 337 12420 95 36 72 134
"24" 92 366 12391 102 34 79 151
"25" 96 390 12368 99 45 82 164
"26" 100 421 12337 105 42 85 189
"27" 104 452 12306 115 38 92 207
"28" 108 476 12279 110 36 101 229
"29" 112 491 12258 103 29 107 252
"30" 116 519 12237 94 47 109 269
"31" 120 543 12213 98 33 116 296
"32" 124 576 12182 90 45 124 317
"33" 128 600 12156 85 47 130 338
"34" 132 627 12130 97 38 139 353
"35" 136 640 12118 81 31 148 380
"36" 140 660 12097 85 28 153 394
"37" 144 674 12081 76 29 160 409
"38" 148 686 12067 70 31 163 422
"39" 152 708 12052 73 25 173 437
"40" 156 726 12030 66 29 181 450
"41" 160 755 12004 73 28 187 467
"42" 164 773 11985 73 31 195 474
"43" 168 787 11971 63 36 201 487
"44" 172 805 11951 64 33 204 504
"45" 176 829 11930 68 29 211 521
"46" 180 839 11917 64 21 216 538
"47" 184 845 11913 49 23 222 551
"48" 188 856 11902 48 22 226 560
"49" 192 867 11890 42 25 232 568
"50" 196 883 11875 46 25 236 576
"51" 200 891 11868 41 21 238 591
