"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 16 26 127484 16 3 1 6
"3" 32 40 127468 29 3 1 7
"4" 48 48 127461 32 4 2 10
"5" 64 55 127452 36 5 2 12
"6" 80 78 127429 51 9 3 15
"7" 96 104 127400 70 10 4 20
"8" 112 127 127380 83 10 8 26
"9" 128 163 127342 104 12 11 36
"10" 144 206 127295 126 26 12 42
"11" 160 285 127220 176 35 20 54
"12" 176 359 127144 226 29 26 78
"13" 192 421 127074 256 43 35 87
"14" 208 562 126930 341 68 45 108
"15" 224 746 126740 456 91 61 138
"16" 240 1002 126480 650 102 81 169
"17" 256 1258 126227 814 112 100 232
"18" 272 1594 125882 983 191 124 296
"19" 288 2080 125376 1289 228 171 392
"20" 304 2676 124769 1666 301 219 490
"21" 320 3383 124021 2088 372 286 637
"22" 336 4297 123113 2642 460 368 827
"23" 352 5455 121913 3336 582 465 1072
"24" 368 6953 120371 4250 736 591 1376
"25" 384 8835 118445 5430 929 728 1748
"26" 400 11175 116041 6791 1204 941 2239
"27" 416 14162 113003 8542 1548 1233 2839
"28" 432 17873 109223 10733 1965 1582 3593
"29" 448 22252 104663 13244 2369 2041 4598
"30" 464 27688 99127 16312 3027 2561 5788
"31" 480 34018 92681 19696 3791 3211 7320
"32" 496 41457 85038 23421 4754 4000 9282
"33" 512 49997 76364 27498 5788 5047 11664
"34" 528 59384 66845 31598 6933 6256 14597
"35" 544 69404 56638 35439 8128 7716 18121
"36" 560 79524 46347 38378 9442 9479 22225
"37" 576 89418 36400 40136 11006 11517 26759
"38" 592 98746 27065 40488 12310 13892 32056
"39" 608 106993 18877 39364 13247 16372 38010
"40" 624 113646 12325 36217 14126 19032 44271
"41" 640 118650 7536 31761 14353 21770 50766
"42" 656 122100 4247 26217 14113 24552 57218
"43" 672 124179 2420 20458 12999 27188 63534
"44" 688 125469 1353 15080 11634 29585 69170
"45" 704 126196 790 10509 9934 31688 74065
"46" 720 126703 482 7044 8130 33469 78060
"47" 736 126931 323 4554 6289 34847 81241
"48" 752 127110 241 2838 4701 35852 83719
"49" 768 127237 178 1680 3435 36581 85541
"50" 784 127297 143 997 2300 37154 86846
"51" 800 127327 127 574 1547 37517 87689
