# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 470 0 0 0 0
 4.000000E+00 1 470 1 0 0 0
 8.000000E+00 0 470 0 0 0 0
 1.200000E+01 2 470 2 0 0 0
 1.600000E+01 4 470 3 1 0 0
 2.000000E+01 3 470 2 0 1 0
 2.400000E+01 4 470 3 0 1 0
 2.800000E+01 3 470 2 0 1 0
 3.200000E+01 4 470 2 1 1 0
 3.600000E+01 4 468 2 1 1 0
 4.000000E+01 4 467 2 1 1 0
 4.400000E+01 5 467 3 1 1 0
 4.800000E+01 5 467 2 1 1 1
 5.200000E+01 4 467 2 0 1 1
 5.600000E+01 4 467 2 0 1 1
 6.000000E+01 6 466 3 1 1 1
 6.400000E+01 5 465 0 2 1 2
 6.800000E+01 7 465 2 0 1 4
 7.200000E+01 7 464 1 1 1 4
 7.600000E+01 9 460 3 1 1 4
 8.000000E+01 9 460 1 3 1 4
 8.400000E+01 8 459 0 2 1 5
 8.800000E+01 12 458 5 0 1 6
 9.200000E+01 8 458 1 0 1 6
 9.600000E+01 14 457 6 0 1 7
 1.000000E+02 12 457 4 0 1 7
 1.040000E+02 9 457 1 0 1 7
 1.080000E+02 12 457 3 0 1 8
 1.120000E+02 11 457 2 0 1 8
 1.160000E+02 11 457 2 0 1 8
 1.200000E+02 14 457 3 2 1 8
 1.240000E+02 12 456 3 0 1 8
 1.280000E+02 10 456 1 0 1 8
 1.320000E+02 12 456 1 2 1 8
 1.360000E+02 14 456 4 0 2 8
 1.400000E+02 15 455 4 1 2 8
 1.440000E+02 20 455 6 2 2 10
 1.480000E+02 17 455 2 2 3 10
 1.520000E+02 17 455 2 2 3 10
 1.560000E+02 21 455 5 2 3 11
 1.600000E+02 20 454 4 1 4 11
 1.640000E+02 18 454 1 2 4 11
 1.680000E+02 21 454 3 3 4 11
 1.720000E+02 19 454 1 1 5 12
 1.760000E+02 21 454 3 0 5 13
 1.800000E+02 20 454 2 0 5 13
 1.840000E+02 21 454 3 0 5 13
 1.880000E+02 21 453 2 1 5 13
 1.920000E+02 20 453 2 0 5 13
 1.960000E+02 25 452 4 1 6 14
 2.000000E+02 24 452 3 0 6 15

#Simulation ended (eff.: 0.742524, detail below)
	#Events: 1018
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
